;Lab_ID;year;vineyard;row_ID;unique_rowID;treatment;cover_type;variety;row_disturbance;plot_disturbance;green;dist_type;year.;SOM_perc;CN;N_perc;Cu_mg.kg;Cu_Cat;pH;total_C_perc;clay;sand;plant_cover;plant_spec;plant_simp;plant_shannon;biomass;basal_res;sir;cmic;h2o_perc;wloss_g_perc;wlossr_perc;k;latitude;longitude;elevation;age_trtm;Cu_fungapp;fung_app
137-15;137.15;2015;31;131;131_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;7.3788;-0.54510731;0.261;87.33547826;2;5.65;2.25;5.094843667;15.29396667;4.875;4;0.438456633;0.629916413;3.3682;2.571666667;11.87366667;315.8453333;22.73051948;66.0631966;27.51128724;0.010794121;46.25281;7.46833;541.9;31;1.2;2.4
138-15;138.15;2015;31;131;131_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;7.3788;-0.54510731;0.261;87.33547826;2;5.65;2.25;5.094843667;15.29396667;4.875;4;0.438456633;0.629916413;3.3682;2.571666667;11.87366667;315.8453333;22.73051948;66.0631966;27.51128724;0.010794121;46.25281;7.46833;541.9;31;1.2;2.4
139-15;139.15;2015;31;131;131_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;7.3788;-0.54510731;0.261;87.33547826;2;5.65;2.25;5.094843667;15.29396667;4.875;4;0.438456633;0.629916413;3.3682;2.571666667;11.87366667;315.8453333;22.73051948;66.0631966;27.51128724;0.010794121;46.25281;7.46833;541.9;31;1.2;2.4
140-15;140.15;2015;7;107;107_15;CC;green;Pinot_noir;1;1;green;green;2015;2.813015606;-0.240676999;0.168;27.41669565;1;7.3;1.489;11.81552567;32.75629633;22.125;8.25;0.616742776;1.121145376;5.1518;2.983;14.99366667;398.831;12.28543242;67.32318693;25.53301029;0.009612549;46.27903;7.4855;813.8;8;2;2
14-15;14.15;2015;21;121;121_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;4.159488595;1.15272207;0.146;51.59304348;2;6.98;1.456;7.727729333;56.64980033;11.5;5.5;0.616391185;1.039045277;0.9574;2.363;11.01133333;292.8996667;11.14735732;74.19047938;38.94574233;0.017599458;46.297439;7.515724;751.4;12;1.2;2.8
144-15;144.15;2015;7;107;107_15;CC;green;Pinot_noir;1;1;green;green;2015;2.813015606;-0.240676999;0.168;27.41669565;1;7.3;1.489;11.81552567;32.75629633;22.125;8.25;0.616742776;1.121145376;5.1518;2.983;14.99366667;398.831;12.28543242;67.32318693;25.53301029;0.009612549;46.27903;7.4855;813.8;8;2;2
147-15;147.15;2015;30;130;130_15;CC;green;Pinot_noir;1;1;green;green;2015;5.2976;-0.532282809;0.233;40.99721739;1;6.58;2.011;4.390397667;22.63343;51.625;8;0.557598603;1.114233966;5.6222;5.739;33.48266667;890.6446667;16.69525066;62.39055744;25.31734855;0.010467233;46.252922;7.469382;540.1;22;1.142857143;2
148-15;148.15;2015;30;130;130_15;CC;green;Pinot_noir;1;1;green;green;2015;5.2976;-0.532282809;0.233;40.99721739;1;6.58;2.011;4.390397667;22.63343;51.625;8;0.557598603;1.114233966;5.6222;5.739;33.48266667;890.6446667;16.69525066;62.39055744;25.31734855;0.010467233;46.252922;7.469382;540.1;22;1.142857143;2
149-15;149.15;2015;30;130;130_15;CC;green;Pinot_noir;1;1;green;green;2015;5.2976;-0.532282809;0.233;40.99721739;1;6.58;2.011;4.390397667;22.63343;51.625;8;0.557598603;1.114233966;5.6222;5.739;33.48266667;890.6446667;16.69525066;62.39055744;25.31734855;0.010467233;46.252922;7.469382;540.1;22;1.142857143;2
150-15;150.15;2015;30;130;130_15;CC;green;Pinot_noir;1;1;green;green;2015;5.2976;-0.532282809;0.233;40.99721739;1;6.58;2.011;4.390397667;22.63343;51.625;8;0.557598603;1.114233966;5.6222;5.739;33.48266667;890.6446667;16.69525066;62.39055744;25.31734855;0.010467233;46.252922;7.469382;540.1;22;1.142857143;2
